,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Cable Standing Calf Raise,Gastrocnemius,Soleus,"Cable Machine, Dip Belt",Isolation
1,Standing Calf Raise,Gastrocnemius,Soleus,Calf Raise Machine / Block,Isolation
2,Donkey Calf Raise,Gastrocnemius,Soleus,Donkey Machine / Weight Belt,Isolation
3,Leg Press Calf Raise,Gastrocnemius,Soleus,Leg Press Machine,Isolation
4,Lever Standing Calf Raise,Gastrocnemius,Soleus,Lever Calf Machine,Isolation
5,Single-Leg Calf Raise,Gastrocnemius,"Soleus, Core Stabilizers",Dumbbell / Bodyweight,Isolation
6,Cable One-Arm Single Leg Calf Raise,Gastrocnemius,"Soleus, Forearm","Cable Machine, Stirrup",Isolation
7,Seated Calf Press,Soleus,Gastrocnemius (minimal),Seated Calf Machine,Isolation
8,Seated Tib Raise,Tibialis Anterior,Ankle Stabilizers,Chair / Bench,Isolation
9,Weighted Toe Taps,Tibialis Anterior,Ankle Stabilizers,Kettlebell / Ankle Weights,Isolation
10,Resistance Band Tib Curl,Tibialis Anterior,Ankle Stabilizers,Resistance Band,Isolation
11,Tib Bar Raise,Tibialis Anterior,Extensor Digitorum Longus,"Tib Bar, Weight Plates",Isolation
12,Tib Dorsi Calf Machine Raise,Tibialis Anterior,Extensor Digitorum Longus,Tibia Dorsi Machine,Isolation
13,Standing Bodyweight Tib Raise,Tibialis Anterior,Extensor Hallucis Longus,NA (Wall for support),Isolation
14,Single Leg Tib Bar Curl,Tibialis Anterior,Peroneal Muscles,"Isotib Bar, Weight Plates",Isolation
15,Reverse Sled Drag,Tibialis Anterior,Quadriceps,Push/Pull Sled,Compound
16,Heel Walks,Tibialis Anterior,Soleus (Isometrically),,Isolation
17,Toe Drags,Tibialis Anterior (Stretch),Ankle Ligaments,,Mobility / Stretch
