,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Sumo Deadlift,Gluteus Maximus,"Adductors, Quadriceps",Barbell,Compound
1,Barbell Hip Thrust,Gluteus Maximus,"Hamstrings, Adductor Magnus","Barbell, Bench, Pad",Compound
2,Cable Glute Kickback,Gluteus Maximus,"Hamstrings, Adductor Magnus","Cable Machine, Ankle Cuff",Isolation
3,Cable Pull Through,Gluteus Maximus,"Hamstrings, Core","Cable Machine, Rope",Compound
4,Glute Bridge,Gluteus Maximus,"Hamstrings, Core",NA (Mat),Isolation
5,Conventional Deadlift,Gluteus Maximus,"Hamstrings, Erector Spinae",Barbell,Compound
6,Kettlebell Swing,Gluteus Maximus,"Hamstrings, Erector Spinae",Kettlebell,Compound
7,Suitcase Deadlift,Gluteus Maximus,"Hamstrings, Obliques",Dumbbell / Kettlebell,Compound
8,Lever Standing Kickback,Gluteus Maximus,"Hamstrings, Stabilizers",Glute Machine,Isolation
9,Single-Leg Leg Press,Gluteus Maximus,"Quadriceps, Adductors",Leg Press Machine,Compound
10,Cable Step-Up,Gluteus Maximus,"Quadriceps, Core","Cable Machine, Box",Compound
11,Step-Up,Gluteus Maximus,"Quadriceps, Hamstrings","Box / Bench, Dumbbells",Compound
12,Lever Bent-Over Kick,Gluteus Maximus,"Quadriceps, Hamstrings",Glute Machine,Isolation
13,Trap Bar Deadlift,Gluteus Maximus,"Quadriceps, Hamstrings",Trap Bar,Compound
14,Rear Lunge,Gluteus Maximus,"Quadriceps, Soleus",Dumbbells / Barbell,Compound
