,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Bottoms-Up KB Press,Anterior Deltoid,"Forearms, Rotator Cuff",Kettlebell,Compound
1,Arnold Shoulder Press,Anterior Deltoid,"Lateral Deltoid, Triceps","Dumbbells, Bench",Compound
2,Cable Seated Front Raise,Anterior Deltoid,Pectoralis Major,Cable Machine,Isolation
3,Forward Raise,Anterior Deltoid,Pectoralis Major (Clavicular),Dumbbells / Plates,Isolation
4,Military Press,Anterior Deltoid,"Triceps, Core Stabilizers",Barbell,Compound
5,Seated Dumbbell Press,Anterior Deltoid,"Triceps, Lateral Deltoid","Dumbbells, Bench",Compound
6,Machine Shoulder Press,Anterior Deltoid,"Triceps, Trapezius",Shoulder Press Machine,Compound
7,Handstand Push-Up,Anterior Deltoid,"Triceps, Upper Chest",NA (Wall),Compound
8,Overhead Press,Anterior Deltoid,"Triceps, Upper Trapezius","Barbell, Rack",Compound
9,External Rotation,Infraspinatus,"Teres Minor, Posterior Delt",Cable Machine / Dumbbell,Isolation
10,Dumbbell Lateral Raise,Lateral Deltoid,"Anterior Deltoid, Trapezius",Dumbbells,Isolation
11,Upright Barbell Row,Lateral Deltoid,"Trapezius, Biceps",Barbell / EZ Bar,Compound
12,"Dumbbell I, Y, T Raises",Posterior Deltoid,"Lower Trapezius, Rhomboids","Dumbbells, Incline Bench",Isolation
13,Cable Rope Face Pull,Posterior Deltoid,"Rhomboids, Trapezius","Cable Machine, Rope",Compound
14,Bent-Over Reverse Fly,Posterior Deltoid,"Rhomboids, Trapezius",Dumbbells,Isolation
15,Reverse Fly,Posterior Deltoid,"Rhomboids, Trapezius","Dumbbells, Bench",Isolation
16,Dumbbell Pullover,Serratus Anterior,"Latissimus Dorsi, Pectoralis","Dumbbell, Flat Bench",Compound
17,Scapular Pull-Ups,Serratus Anterior,Lower Trapezius,Pull-Up Bar,Isolation
18,Shoulder Swivels,Serratus Anterior,Pectoralis Major,Dumbbells,
19,Push-Up Plus,Serratus Anterior,"Pectoralis Major, Core",NA (Mat),Isolation
20,Incline Shoulder Raise,Serratus Anterior,"Pectoralis Major, Triceps","Barbell / Dumbbells, Bench",Isolation
21,Serratus Wall Slides,Serratus Anterior,Shoulders,Resistance Band / Wall,Isolation
22,Standing Serratus Press,Serratus Anterior,"Triceps, Anterior Deltoid",Cable Machine / Bands,Isolation
23,Internal Rotation,Subscapularis,"Pectoralis Major, Latissimus",Cable Machine / Dumbbell,Isolation
24,Shrugs,Upper Trapezius,Levator Scapulae,Barbell / Dumbbells,Isolation
