,Exercise Name,Primary Muscles,Secondary Muscles,Gym Equipment Needed,Movement Mechanics
0,Good Mornings,Hamstrings,"Erector Spinae, Glutes",Barbell,Compound
1,Stiff-Leg Deadlift,Hamstrings,"Erector Spinae, Glutes",Barbell / Dumbbells,Compound
2,45° Hyperextension,Hamstrings,"Erector Spinae, Glutes",Hyperextension Bench,Isolation
3,Kneeling Leg Curl,Hamstrings,Gastrocnemius,Kneeling Curl Machine,Isolation
4,Resistance Band Leg Curl,Hamstrings,Gastrocnemius,Resistance Band,Isolation
5,Standing Leg Curl,Hamstrings,Gastrocnemius,Standing Curl Machine,Isolation
6,Lying Leg Curl,Hamstrings,"Gastrocnemius, Gracilis",Lying Leg Curl Machine,Isolation
7,Seated Leg Curl,Hamstrings,"Gastrocnemius, Sartorius",Seated Leg Curl Machine,Isolation
8,Single-Leg Deadlift,Hamstrings,"Glutes, Core Stabilizers",Kettlebell / Dumbbell,Compound
9,Romanian Deadlift,Hamstrings,"Glutes, Erector Spinae",Barbell / Dumbbells,Compound
10,Conventional Deadlift,Hamstrings,"Glutes, Erector Spinae, Quads",Barbell,Compound
11,Glute-Ham Raise,Hamstrings,"Glutes, Gastrocnemius",GHD Machine,Compound
12,Sumo Squat,Quadriceps,"Adductors, Glutes",Barbell / Dumbbell,Compound
13,Lateral Lunge,Quadriceps,"Adductors, Glutes",Dumbbells / Bodyweight,Compound
14,Speed Squats,Quadriceps,Glutes,Barbell,Compound
15,Hack Squat,Quadriceps,Glutes,Hack Squat Machine,Compound
16,Wall Sits,Quadriceps,Glutes,NA (Wall),Isometric Compound
17,Curtsy Lunge,Quadriceps,Glutes (Medius/Minimus),Dumbbells / Bodyweight,Compound
18,Leg Press,Quadriceps,"Glutes, Adductors",Leg Press Machine,Compound
19,Front Squat,Quadriceps,"Glutes, Core Stabilizers","Barbell, Squat Rack",Compound
20,Goblet Squat,Quadriceps,"Glutes, Core Stabilizers",Dumbbell / Kettlebell,Compound
21,Pistol Squat,Quadriceps,"Glutes, Core Stabilizers",NA / Dumbbell,Compound
22,Barbell Split Squat,Quadriceps,"Glutes, Hamstrings",Barbell,Compound
23,Box Squat,Quadriceps,"Glutes, Hamstrings","Barbell, Box/Bench",Compound
24,Pause Squat,Quadriceps,"Glutes, Hamstrings","Barbell, Squat Rack",Compound
25,Bulgarian Split Squat,Quadriceps,"Glutes, Hamstrings","Dumbbells, Bench",Compound
26,Barbell Back Squat,Quadriceps,"Glutes, Hamstrings, Adductors","Barbell, Squat Rack",Compound
27,Reverse Lunge,Quadriceps,"Glutes, Soleus",Dumbbells / Barbell,Compound
28,Thrusters,Quadriceps,"Shoulders, Triceps, Core",Barbell / Dumbbells,Compound
29,Machine Leg Extension,Quadriceps,,Leg Extension Machine,Isolation
